Title,Price(Ty),Area(m2),Bedroom,Toilet,Location,Price_per_m2(trieu)
"Bán căn hộ cao cấp 5* View sông ngắm pháo hoa rất đẹp tại Vinpearl Condotel Đà Nẵng giá 1,35 tỷ",1.35,40,1.0,,"Sơn Trà, Đà Nẵng",33.75
Bán shophouse trung tâm Đà Nẵng - gần phố Tây An Thượng - xây sẵn 6 - 7 tầng - Đình Thạnh Landcorp,21.0,100,,,"Ngũ Hành Sơn, Đà Nẵng",210.0
"Bán đất KDC Bàu Mạc, giá 2,79 tỷ mặt tiền ngang 7m",2.79,93,,,"Liên Chiểu, Đà Nẵng",30.0
"Đất 2 mặt tiền Bàu Mạc 17 và Bàu Mạc 19, Liên Chiểu gần biển Xuân Thiều",3.99,"139,1",,,"Liên Chiểu, Đà Nẵng",28.68
Nhà kiệt 375 Âu Cơ diện tích rộng hơn 150 m2,0.0,"156,9",,,"Liên Chiểu, Đà Nẵng",
"Chỉ 1 và 1 căn 58,6m2, vốn ban đầu 1 tỷ, 2/2026 nhận nhà Sun Symphony",4.1,"58,6",2.0,1.0,"Sơn Trà, Đà Nẵng",69.97
"Duy nhất căn 2PN view trực diện sông điểm bắn pháo hoa Symphony giá vốn chỉ từ 1,720 tỷ hàng hiếm",7.05,"70,8",2.0,2.0,"Sơn Trà, Đà Nẵng",99.62
"Cần tiền bán gấp nhà đất 114.4m2, kiệt ô tô, cách đường 25m - Nguyễn Thị Minh Khai, Quận Hải Châu",6.4,"114,4",,,"Hải Châu, Đà Nẵng",55.94
Tổng hợp lãi suất vay mua bất động sản ưu đãi nhất thị trường,,,,,,
"Chủ kẹt tiền bán gấp nhà 2 mặt kiệt trước và sau, K96 Điện Biên Phủ, phường Chính Gián, Thanh Khê",2.8,"56,7",1.0,1.0,"Thanh Khê, Đà Nẵng",49.38
Toà căn hộ 4.5 tầng thang máy - góc 2 mặt tiền gần biển Mỹ Khê cực thoáng - cho thuê 35triệu/tháng,10.0,"94,2",7.0,,"Sơn Trà, Đà Nẵng",106.16
"Nhà 3 tầng kiệt Trần Xuân Lê, nhà cách đường chỉ 35m giá 2 tỷ",2.0,39,,,"Thanh Khê, Đà Nẵng",51.28
"Bán khách sạn đầu đường Ông ích Khiêm, gần Nguyễn Tất Thành, Hải Châu, Đà Nẵng",22.0,"108,6",,,"Hải Châu, Đà Nẵng",202.58
Chuyển nhượng quỹ đất phát triển dự án trên 1000 căn hộ tại Đà Nẵng,0.0,5.000,,,"Điện Bàn, Quảng Nam",
Chuyển nhượng nhà máy 4800m2 KCN Hòa Khánh - Đà Nẵng,16.0,4.800,,,"Liên Chiểu, Đà Nẵng",3.33
"Bán 3 lô liền kề MT đường Trịnh Lỗi, khu đô thị Nam Việt Á - Khuê Mỹ",4.6,100,,,"Ngũ Hành Sơn, Đà Nẵng",46.0
Gấp gấp đất 2 mặt tiền đường Đông Kinh Nghĩa Thục và Lê Mạnh Trinh. 100 triệu/m2,46.0,460,,,"Sơn Trà, Đà Nẵng",100.0
"Cần bán lô đất đường Vùng Trung 18, khu đô thị Phú Mỹ An, Đà Nẵng",3.5,"106,3",,,"Ngũ Hành Sơn, Đà Nẵng",32.93
"Cần bán lô đất đường Vùng Trung 18, khu đô thị Phú Mỹ An, Đà Nẵng",3.5,"106,3",,,"Ngũ Hành Sơn, Đà Nẵng",32.93
"Tòa S3 - Căn hộ 2PN + view sông Hàn, biển Mỹ Khê, núi Sơn Trà - DT 87,1m2 giá 4,9 tỷ",4.9,"87,1",3.0,2.0,"Sơn Trà, Đà Nẵng",56.26
Đất lớn đại lộ Nam Kỳ Khởi Nghĩa đường 30m thông biển đến QL1A. Dòng tiền 40 triệu/tháng. Có Kho,17.5,467,,,"Ngũ Hành Sơn, Đà Nẵng",37.47
"Khuê Mỹ Đông 14, đất căn hộ, xây tòa building, biển Mỹ Khê Đà Nẵng đơn giá 70 tr/m2",7.14,102,,,"Ngũ Hành Sơn, Đà Nẵng",70.0
Cần bán nhà 2 mặt tiền Hải Châu,10.5,"114,6",1.0,1.0,"Hải Châu, Đà Nẵng",91.62
"Cần bán đường 7,5m đẹp Hoà Xuân",2.75,100,,,"Cẩm Lệ, Đà Nẵng",27.5
"Bán nhà mặt tiền Nguyễn Khả Trạc khu Nam Cẩm Lệ ven sông chỉ 3,99 tỷ thương lượng mạnh",3.99,100,5.0,4.0,"Hòa Vang, Đà Nẵng",39.9
Bán hơn 130m2 ngang 6m mặt tiền Mai Thúc Lân. Đường rộng 10.5m sát Nguyễn Văn Thoại,16.5,134,,,"Ngũ Hành Sơn, Đà Nẵng",123.13
"Nhà mới đẹp đường 7m5 - KDC ven sông Hàn. Giá 5,699 tỷ. KH vào ở ngay. Cách sông chỉ 300m",5.7,95,2.0,2.0,"Ngũ Hành Sơn, Đà Nẵng",59.99
"Shophouse (The Ori Garden) - Siêu phẩm lợi nhuận kép - Chỉ với 2,7 tỷ ngay tại Đà Nẵng",2.7,"62,5",,,"Liên Chiểu, Đà Nẵng",43.2
"Giảm 500tr! Bán gấp nhà 3 tầng ngay sông Hàn, đối diện chợ An Hải Bắc, Sơn Trà - DT 25tr/tháng",7.05,95,5.0,5.0,"Sơn Trà, Đà Nẵng",74.21
"Cẩm Hương, căn S3A-27-03 căn 3BR Vip nhất dự án/ Chỉ cần đóng trước 2,3 tỷ, NH hỗ trợ 70% trong 36T",9.3,"98,6",3.0,,"Sơn Trà, Đà Nẵng",94.32
Tổng hợp lãi suất vay mua bất động sản ưu đãi nhất thị trường,,,,,,
"Biệt thự biển Fusion sở hữu lâu dài - 2 PN - 535m2 25 tỷ, CK 25% miễn PQL 5 năm, tặng full nội thất",25.0,535,2.0,2.0,"Ngũ Hành Sơn, Đà Nẵng",46.73
"Bán đất mặt tiền đường Trà Na 4 gần góc sát Hoàng Văn Thái chỉ 2,1x tỷ",2.18,95,,,"Liên Chiểu, Đà Nẵng",22.95
Đất Hương Hải Thiền Sư 82m2 Đ7m5 ngay công viên sát sông Hàn đẹp rẻ,5.1,82,,,"Sơn Trà, Đà Nẵng",62.2
"Chính chủ bán cặp đất Đường Dương Đình Nghệ 270m2 ngang 13,5m, gần biển Mỹ Khê, giá hơn 40 tỷ",0.0,270,,,"Sơn Trà, Đà Nẵng",
Chuyển nhượng quỹ đất phát triển dự án trên 1000 căn hộ tại Đà Nẵng,0.0,5.000,,,"Điện Bàn, Quảng Nam",
Đất Lê Chân 71m2 sát Khúc Hạo gần sông gần chợ gần sông Hàn đẹp rẻ,4.35,71,,,"Sơn Trà, Đà Nẵng",61.27
Đất Nam Thọ 125m2 ngang 5m sát Đinh Công Trứ biển Thọ Quang Sơn Trà đẹp rẻ,4.5,125,,,"Sơn Trà, Đà Nẵng",36.0
"Bán lô đất đường Trung Lương 16 khu đảo vip, đối diện trường học",4.8,"121,2",,,"Cẩm Lệ, Đà Nẵng",39.6
"Chính chủ cần bán đất Nguyễn Sinh Sắc, cạnh siêu thị Mega Market, 168m2 (7x24m), giá bán 73 tr/m2",12.25,168,,,"Liên Chiểu, Đà Nẵng",72.92
"Bán 2 lô đất đường Trung Lương 14, khu đảo vip",4.25,100,,,"Cẩm Lệ, Đà Nẵng",42.5
"Bán lô đảo vip đường Trung Lương 9, hướng Đông Nam",4.25,100,,,"Cẩm Lệ, Đà Nẵng",42.5
"Bán gấp đất Đ. Ngô Sĩ Liên, Hoà Minh, Liên Chiểu. Gần bến xe Đà Nẵng. 100m2/SHR, full thổ cư",0.0,100,,,"Liên Chiểu, Đà Nẵng",
"Kẹt tiền bán lô góc 2 mặt tiền đường 5m5 Nguyễn Chích giá 3,5 tỷ, đất đẹp diện tích lớn",3.5,"98,5",,,"Liên Chiểu, Đà Nẵng",35.53
"Nhà giá rẻ ngay trung tâm thành phố, kiệt Hải Phòng, Chính Gián, Thanh Khê, Đà Nẵng",2.7,55,2.0,2.0,"Thanh Khê, Đà Nẵng",49.09
"Chính chủ cần bán căn nhà mặt tiền Trưng Nữ Vương, phường Bình Hiên, gần cầu Rồng",11.6,112,,,"Hải Châu, Đà Nẵng",103.57
"Nhà mặt tiền Tôn Đức Thắng, gần bến xe trung tâm Đà Nẵng, kinh doanh đa ngành nghề",6.65,125,,,"Liên Chiểu, Đà Nẵng",53.2
"Nhà 3 tầng đường Hòa Minh 8, Phường Hòa Minh, Quận Liên Chiểu",3.85,"81,5",,,"Liên Chiểu, Đà Nẵng",47.24
"Bán đất mặt tiền Đồng Kè, diện tích rộng thuận tiện xây căn hộ dịch vụ, nhà hàng, kinh doanh",0.0,337,,,"Liên Chiểu, Đà Nẵng",
"Chủ cần bán gấp lô đất 2 mặt kiệt ô tô Hoàng Thị Loan, Hòa Minh, Đà Nẵng",2.15,"67,4",,,"Liên Chiểu, Đà Nẵng",31.9
"Nhà 3 mê kiệt 64 Duy Tân, gần đường, ngay trung tâm thành phố",3.05,45,3.0,3.0,"Hải Châu, Đà Nẵng",67.78
"Lô đất mặt tiền đường Bàu Mạc 6, thuộc Hòa Minh, Liên CHiểu",2.78,"107,5",,,"Liên Chiểu, Đà Nẵng",25.86
Tổng hợp lãi suất vay mua bất động sản ưu đãi nhất thị trường,,,,,,
"Nhà đẹp Đà Nẵng - Bàn nhà vị trí đẹp, phố thời trang, đang cho thuê 17tr/th, full nội thất",4.98,48,,,"Thanh Khê, Đà Nẵng",103.75
"Nhà đẹp Đà Nẵng - Bán gấp nhà 3 tầng Gara, nội thất cao cấp, hỗ trợ vay NH 80%",3.75,90,3.0,3.0,"Cẩm Lệ, Đà Nẵng",41.67
"Siêu hiếm - lô đất đường Nguyễn Đình - ngang 8m - gần bãi biển Phước Mỹ, Sơn Trà - giá chỉ 6.5 tỷ",6.5,80,,,"Sơn Trà, Đà Nẵng",81.25
Chính chủ cần thanh khoản lô 125m2 khu đô thị FPT Đà Nẵng,3.75,125,,,"Ngũ Hành Sơn, Đà Nẵng",30.0
Chuyển nhượng quỹ đất phát triển dự án trên 1000 căn hộ tại Đà Nẵng,0.0,5.000,,,"Điện Bàn, Quảng Nam",
"Nhà mới 4 tầng Bàu Năng, Hòa Minh, Liên Chiểu. DT: 85m2, ngang 5m, 5tỷ750tr, full nội thất",5.75,85,4.0,,"Liên Chiểu, Đà Nẵng",67.65
"Nhà đẹp Đà Nẵng - Bán nhà 3 tầng 3PN cách biển 500m, full nội thất, gần trường học bệnh viện",5.6,80,3.0,3.0,"Liên Chiểu, Đà Nẵng",70.0
"Căn hộ 2PN 62.6m2 tầng 16 Peninsula, view sông Hàn, trung tâm Đà Nẵng",0.0,"62,6",2.0,2.0,"Sơn Trà, Đà Nẵng",
"Chủ cần bán gấp căn hộ 2 phòng ngủ 82,5m2 The Sang, biển Mỹ Khê, TT Đà Nẵng",0.0,"82,5",2.0,2.0,"Ngũ Hành Sơn, Đà Nẵng",
"Bán lô đất 243m2 2MT đường ô tô Hà Chương gần Võ Nguyên Giáp, cách biển Mỹ Khê 200m - Giá 24,5 tỷTL",24.5,243,,,"Sơn Trà, Đà Nẵng",100.82
"Bán lô góc Shophouse FPT Đà Nẵng 108m2 (6x18m), giá siêu tốt",5.0,108,,,"Ngũ Hành Sơn, Đà Nẵng",46.3
Mua căn hộ sông Hàn Peninsula Đà Nẵng tiêu chuẩn bàn giao nội thất cao cấp nhất thị trường,0.0,50,1.0,1.0,"Sơn Trà, Đà Nẵng",
"Bán lô đất đường Cao Sơn 6 gần bãi tắm Tân Trà, view công viên giá đầu tư",2.7,100,,,"Ngũ Hành Sơn, Đà Nẵng",27.0
Mặt tiền kinh doanh siêu đỉnh đa ngành nghề - Điện Biên Phủ gần ngã tư Nguyễn Tri Phương-16tỉ,16.0,100,5.0,4.0,"Thanh Khê, Đà Nẵng",160.0
"The Vista căn hộ cao cấp nhất Tp Đà Nẵng view pháo hoa, sông Hàn, đối diện TĐH Kiến trúc, Đông Á",7.0,119,3.0,3.0,"Hải Châu, Đà Nẵng",58.82
Xem ngay nếu bạn đang muốn tìm căn hộ biển Đà Nẵng,3.62,82,2.0,2.0,"Ngũ Hành Sơn, Đà Nẵng",44.2
"Cần bán tòa nhà apartment gần biển Mỹ Khê, Đà Nẵng",22.0,204,16.0,16.0,"Sơn Trà, Đà Nẵng",107.84
Cần bán gấp căn hộ view trực diện biển Mỹ Khê Đà Nẵng,0.0,62,2.0,2.0,"Ngũ Hành Sơn, Đà Nẵng",
Tung giỏ hàng ngoại giao căn hộ biển đa view - sở hữu lâu dài - giá siêu rẻ,3.7,82,2.0,2.0,"Ngũ Hành Sơn, Đà Nẵng",45.12
Mua căn hộ sông Hàn Peninsula Đà Nẵng tiêu chuẩn bàn giao nội thất cao cấp nhất thị trường,0.0,63,2.0,2.0,"Sơn Trà, Đà Nẵng",
"Nhà đẹp Đà Nẵng - Bán gấp mặt tiền thanh khê 4 tầng, thiết kế sang xịn, tặng full nội thất",5.4,52,,,"Thanh Khê, Đà Nẵng",103.85
Tổng hợp lãi suất vay mua bất động sản ưu đãi nhất thị trường,,,,,,
Bán nhà 2 tầng nguyên căn cực đẹp khu Nam Việt Á,5.5,100,2.0,,"Ngũ Hành Sơn, Đà Nẵng",55.0
Bán nhanh căn hộ 2PN gần trường đại học Bách Khoa Đà Nẵng,1.45,60,2.0,2.0,"Liên Chiểu, Đà Nẵng",24.17
"Townhouse 3 tầng Sonata ngay cạnh tòa S2 - DT 108,53m2 - Giá 16,1 tỷ",16.1,"108,53",3.0,4.0,"Sơn Trà, Đà Nẵng",148.35
"Căn hộ Cosmo 1PN + view biển, thành phố - Diện tích 48,6m2 - Giá 2,29 tỷ",2.29,"48,6",2.0,1.0,"Ngũ Hành Sơn, Đà Nẵng",47.16
Chuyển nhượng quỹ đất phát triển dự án trên 1000 căn hộ tại Đà Nẵng,0.0,5.000,,,"Điện Bàn, Quảng Nam",
"Căn Studio Sun Symphony view trực diện sông Hàn, pháo hoa - DT 35,5m2 giá 3,2 tỷ",3.2,"35,5",1.0,1.0,"Sơn Trà, Đà Nẵng",90.14
Lô 144m2 xây nhà đẹp giá cực tốt khu FPT ngay biểnTân trà Đà Nẵng,0.0,144,,,"Ngũ Hành Sơn, Đà Nẵng",
"Tòa S3 - Căn hộ 2PN + view sông Hàn, biển Mỹ Khê, núi Sơn Trà - DT 87,1m2 giá 4,9 tỷ",4.99,"87,1",2.0,2.0,"Sơn Trà, Đà Nẵng",57.27
"Tòa S3 - Căn hộ 1PN + view Sơn Trà, Biển - Diện tích 50m2 giá 3,1 tỷ",3.1,50,2.0,1.0,"Sơn Trà, Đà Nẵng",62.0
"Bán nhà mặt tiền 105m2 - tuyến kinh doanh Lê Đình Kỵ, Đà Nẵng full nội thất",6.5,105,3.0,3.0,"Cẩm Lệ, Đà Nẵng",61.9
Sốc - Chủ bán nhanh - Toà nhà 4 tầng + 1 hầm MT Nguyễn Hữu Thọ - DT đất 170m2 - Chỉ 26.5 tỷ,26.5,170,,,"Cẩm Lệ, Đà Nẵng",155.88
"Nhà đẹp Đà Nẵng - Ngồi nhà mơ ước 3 tầng hiện đại, full nội thất cao cấp",6.5,90,4.0,4.0,"Liên Chiểu, Đà Nẵng",72.22
"Bán nhà 3 tầng mặt phố Lê Thanh Nghị (vỉa hè rộng 13m), khu sầm uất quận Hải Châu",11.99,81,3.0,3.0,"Hải Châu, Đà Nẵng",148.02
Chính chủ bán nhà mặt tiền đường Võ Nguyên Giáp - Biển Mỹ Khê. LH:0964 003 ***,35.0,140,,,"Ngũ Hành Sơn, Đà Nẵng",250.0
Bán lô góc 2 mặt tiền đường Phạm Cự Lượng - xây sẵn móng 7 tầng. LH:0964 003 ***,20.5,200,,,"Sơn Trà, Đà Nẵng",102.5
"Cặp đất hiếm Lê Quang Đạo sát biển Mỹ Khê, đang cho thuê nhà hàng dòng tiền 45tr/tháng. Giá cực tốt",25.5,160,,,"Ngũ Hành Sơn, Đà Nẵng",159.38
"Chính chủ cần bán 2 lô góc siêu đẹp đường Bùi Tấn Diên, hàng độc quyền siêu hiếm trên thị trường",0.0,"159,3",,,"Cẩm Lệ, Đà Nẵng",
Bán nhà phố Euro Village giá 11 tỷ - Toàn Huy Hoàng,11.0,100,3.0,4.0,"Sơn Trà, Đà Nẵng",110.0
"Chính chủ cần bán căn biệt thự mặt sông Cổ Cò, gần sân golf BRG",20.0,300,3.0,,"Ngũ Hành Sơn, Đà Nẵng",66.67
Duy nhất 1 căn Duplex Penthouse view trực diện biển Mỹ Khê tại chung cư The Sang Đà Nẵng,0.0,180,5.0,5.0,"Ngũ Hành Sơn, Đà Nẵng",
"Bán đất 2MT đường 7,5m ngay khu phố chợ Non Nước, thông Trần Đại Ngĩa và Mai Đăng Chơn giá 3,x tỷ",3.85,123,,,"Ngũ Hành Sơn, Đà Nẵng",31.3
Tổng hợp lãi suất vay mua bất động sản ưu đãi nhất thị trường,,,,,,
"Siêu hot. Tòa căn hộ 7 tầng 1 tum sát biển giá chỉ 9 tỷ Quận Sơn Trà, TP Đà Nẵng",9.0,80,13.0,13.0,"Sơn Trà, Đà Nẵng",112.5
Bán nhà 3 tầng Đoàn Khuê 95m2 - 4PN khu Nam Việt Á - đường chính kinh doanh 11m5 - khu dân trí cao,7.0,95,4.0,,"Ngũ Hành Sơn, Đà Nẵng",73.68
"Tòa căn hộ 8 tầng, thang máy, view công viên - gần chung cư FPT - DTSD 800m2 - 12 tỷ",12.0,100,13.0,13.0,"Ngũ Hành Sơn, Đà Nẵng",120.0
"Bán đất kiệt ô tô Đông Giang, An Hải Tây, Sơn Trà, Đà Nẵng",3.8,65,,,"Sơn Trà, Đà Nẵng",58.46
Chuyển nhượng quỹ đất phát triển dự án trên 1000 căn hộ tại Đà Nẵng,0.0,5.000,,,"Điện Bàn, Quảng Nam",
Siêu phẩm tòa căn hộ phố du lịch Thạch Lam - Sát biển Mỹ Khê - nở hậu - hoàn công đầy đủ hơn 11 tỷ,11.5,"81,4",7.0,7.0,"Sơn Trà, Đà Nẵng",141.28
"Chính chủ bán nhà Huy Cận DT 142.5m2, ko lỗi phong thủy, vừa ở vừa có dòng tiền, giá 7.8 tỷ có TL",7.8,"142,5",2.0,2.0,"Cẩm Lệ, Đà Nẵng",54.74
"Bán chung cư 2PN, 62,7m2 Peninsula Đà Nẵng - view trực diện vịnh Đà Nẵng và sông Hàn",0.0,"62,7",2.0,,"Sơn Trà, Đà Nẵng",
Nhà 2 tầng kiệt 164 Nguyễn Chánh - sát bên biển. DT khủng,2.7,154,3.0,3.0,"Liên Chiểu, Đà Nẵng",17.53
Bán cặp đất Võ Như Hưng - Ngũ Hành Sơn - Đà Nẵng. LH:0905 890 ***,12.9,160,,,"Ngũ Hành Sơn, Đà Nẵng",80.62
"Gấp bán nhà MT Trưng Nữ Vương, Hải Châu, 6.7x18m, 3 tầng chỉ 12 tỷ",12.0,116,4.0,,"Hải Châu, Đà Nẵng",103.45
Ra đi 2 lô đất siêu đẹp khu FPT,29.76,620,,,"Ngũ Hành Sơn, Đà Nẵng",48.0
Cần bán nhà mặt tiền Nguyễn Hoàng,5.2,"58,7",3.0,3.0,"Thanh Khê, Đà Nẵng",88.59
Nhà mặt phố Sơn Trà sát sông Hàn - Nhà 3 tầng cạnh Vincom - DT 100m2 chỉ 8 tỷ 300tr,8.3,100,3.0,3.0,"Sơn Trà, Đà Nẵng",83.0
"Cần bán đất biệt thự Euro Village 2, Hòa Xuân, giá tốt",16.5,300,,,"Cẩm Lệ, Đà Nẵng",55.0
Lô đất 2 mặt kiệt ô tô trung tâm Q. Hải Châu - đoạn Hoàng Diệu 2 chiều,2.85,60,,,"Hải Châu, Đà Nẵng",47.5
Bán căn 2PN 70m2 full nội thất F.Home vị trí trung tâm - Gía đầu tư tốt. Lh xem trực tiếp căn hộ,2.75,70,2.0,2.0,"Hải Châu, Đà Nẵng",39.29
Bán đất kiệt ô tô Ông Ích Đường - Khuê Trung - Cẩm Lệ,2.2,75,,,"Cẩm Lệ, Đà Nẵng",29.33
"Bán toà căn hộ 5 tầng 115m2, thang máy đường Sơn Thuỷ ngay UBND quận Ngũ Hành Sơn - giá chỉ 7,x tỷ",7.6,115,6.0,6.0,"Ngũ Hành Sơn, Đà Nẵng",66.09
"Bán lô đất đường Phan Tòng, Ngũ Hành Sơn, Đà Nẵng, diện tích 157,5m2",5.5,"157,5",,,"Ngũ Hành Sơn, Đà Nẵng",34.92
Bán lô đất Hoà Minh 25 - đường thông đẹp,4.35,"108,5",,,"Liên Chiểu, Đà Nẵng",40.09
Tổng hợp lãi suất vay mua bất động sản ưu đãi nhất thị trường,,,,,,
Bán lô đất Hoà Minh 25 - đường thông đẹp,4.35,"108,5",,,"Liên Chiểu, Đà Nẵng",40.09
"Căn hộ cao cấp The Vista ngay trung tâm Tp ĐN, view sông Hàn, nội thất cao cấp, giá chỉ 4 - 5 tỷ",0.0,76,2.0,2.0,"Hải Châu, Đà Nẵng",
"Bán đất biển Tân Trà đường Phan Tòng, cách Trường Sa chỉ 100m, Ngũ Hành Sơn",4.3,115,,,"Ngũ Hành Sơn, Đà Nẵng",37.39
Giảm 200 triệu - bán lô đất nở hậu Phạm Cự Lượng 150m2 - đường 7m5 - giá 10.5 tỷ có TL,10.5,150,3.0,3.0,"Sơn Trà, Đà Nẵng",70.0
Chuyển nhượng quỹ đất phát triển dự án trên 1000 căn hộ tại Đà Nẵng,0.0,5.000,,,"Điện Bàn, Quảng Nam",
Bán lô đường 5m thôn Yến Nê 1 - Hoà Tiến thích hợp xây nhà vườn,1.5,150,,,"Hòa Vang, Đà Nẵng",10.0
